S2_B1,S2_B2,S2_B4,S2_B11,S2_B12,ARVI,CI,DVI,GEMI,GNDVI,IPVI,IRECI,MCARI,MSAVI,MSAVI2,NDVI,NDWI2,PSSRA,RI,RVI,SAVI,3_45_9,3_90_12,3_90_63,5_90_21,5_90_62,7_90_15,7_45_19,9_180_12,9_45_97,9_90_11,9_90_59,11_135_1,13_90_59,15_135_97,15_45_1,15_45_19,15_45_59,15_45_81,15_90_13,15_90_31,15_90_59,15_90_64,15_180_59,Label
0.0431,0.0315,0.0164,0.014,0.0139,0.84431,-0.03529,-0.001,0.16829,-0.06667,0.48428,-0.00081,0,-0.00194,0.49806,-0.03145,0.06667,0.95122,49.33437,0.93902,-0.00282,3,0,1,0,0,0.92087,1,0.01235,0,0.98765,1,10.40496,1,0,10.4,1,1,0.73333,0.03111,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.041,0.0331,0.017,0.0149,0.0139,0.89091,-0.05028,-0.0014,0.1687,-0.09302,0.47853,-0.00038,0,-0.00271,0.49729,-0.04294,0.09302,0.97647,43.4935,0.91765,-0.00394,3,0,1,0,0,1,1,0,0,1,1,10,1,0,10,1,1,0.70667,0,1,1,1,1,1
0.0419,0.0297,0.0167,0.0143,0.0136,0.61458,-0.02339,-0.0012,0.16849,-0.06061,0.48137,-0.0008,0,-0.00232,0.49768,-0.03727,0.06061,0.9521,52.0378,0.92814,-0.00338,2.66667,0.66667,1,0,0,0.65514,1,0.16049,0,0.91358,1,10,1,0,10,1,1,0.43111,0.16889,1,1,1,1,1
0.0762,0.1005,0.1998,0.334,0.2814,-0.14752,0.17219,0.0224,0.33676,0.22323,0.52654,0.05004,-0.00004,0.03155,0.53171,0.05308,-0.22323,1.22773,14.21052,1.11211,0.03644,10.55556,0.44444,0.50617,0.6,1.88875,0.13453,0.54526,0.92593,14.67901,0.6642,0.51762,20.18182,0.49694,11.68889,19.58667,0.42419,0.37537,2.28444,0.95556,0.04273,0.49712,0.91858,0.54225,2
0.0433,0.033,0.0174,0.0149,0.0141,0.79661,-0.00855,-0.0015,0.16943,-0.05357,0.47748,-0.0002,0,-0.0029,0.4971,-0.04504,0.05357,0.98851,54.59824,0.91379,-0.00422,3,0,1,0,0,1,1,0.02469,0,0.99383,1,11,1,0,11,1,1,0.21333,0.00889,1,1,1,1,1
0.0362,0.0332,0.0203,0.0178,0.0168,0.4127,-0.16632,-0.0025,0.17384,-0.22944,0.46719,-0.00104,0,-0.00482,0.49519,-0.06562,0.22944,0.95074,17.99024,0.87685,-0.00697,3,0,1,0,0,1,1,0,0,1,1,8.90909,1,0,8.8,1,1,0.68,0.01333,0.30086,1,1,1,1
0.0435,0.0336,0.0171,0.0142,0.0136,0.93443,-0.06044,0.0006,0.17441,-0.04324,0.50862,0.00071,0,0.00116,0.50116,0.01724,0.04324,1.04094,40.67432,1.03509,0.00168,3,0,1,0,0,0.92087,1,0.02469,0,0.98765,1,11,1,0,11,1,1,0.4,0.00889,1,1,1,1,1
0.0762,0.0631,0.0915,0.2054,0.1433,0.13617,0.1179,0.0662,0.41344,0.3719,0.63283,0.07718,0.00021,0.10696,0.60982,0.26565,-0.3719,1.64699,22.24491,1.7235,0.13254,6.66667,4.88889,0.11111,2.48,2.97614,0.02874,0.31128,4.44444,11.14815,0.4269,0.33944,18.80992,0.34727,10.36,18.77778,0.34392,0.28344,1.93333,1.55556,0.0131,0.3435,0.74226,0.46497,3
0.0401,0.0355,0.0169,0.0152,0.0145,1.21118,-0.16337,0.0009,0.17473,-0.13801,0.51297,0.0016,0,0.00174,0.50174,0.02594,0.13801,1.10059,22.00746,1.05325,0.00252,3,0,1,0.12,0,1,0.91837,0,0,1,1,10,1,0,9.94667,0.80222,1,1,0,1,1,1,1,1
0.0412,0.0329,0.0168,0.0145,0.0139,0.91716,-0.02326,-0.0006,0.17039,-0.04142,0.49091,0.00054,0,-0.00116,0.49884,-0.01818,0.04142,1.02976,51.77027,0.96429,-0.00169,3,0,1,0,0,1,1,0,0,1,1,10,1,0,10,1,1,0.36444,0,1,1,1,1,1
0.0445,0.0408,0.0575,0.1486,0.0926,0.31009,0.10365,0.0834,0.42453,0.50213,0.71018,0.15524,0.00017,0.14147,0.64698,0.42036,-0.50213,2.59304,32.46273,2.45043,0.17912,3.55556,0.22222,0.11111,0.84,2.89976,0.15952,0.57143,0.59259,5.85185,0.79136,0.43487,11.55372,0.47881,6.72889,11.58667,0.60622,0.37952,1.2,0.51556,0.0515,0.4882,0.691,0.49904,7
0.0666,0.099,0.2061,0.3039,0.2481,-0.13458,0.1855,0.0328,0.34961,0.25572,0.53685,0.03753,0.00009,0.04549,0.54581,0.07371,-0.25572,1.16448,14.96119,1.15915,0.05206,9.44444,3.11111,0.1358,1.48,2.92069,0.05456,0.47125,1.75309,13.85185,0.55701,0.39636,19.13223,0.44697,13.33778,19.28,0.49777,0.39903,2,0.99556,0.01942,0.4775,0.79155,0.48289,2
0.0397,0.035,0.0175,0.0156,0.0142,1,-0.20993,-0.0001,0.17349,-0.21267,0.49857,0.00029,0,-0.00019,0.49981,-0.00287,0.21267,1.01714,15.91006,0.99429,-0.00028,3,0,1,0,0,1,0.9898,0,0,1,1,9.79339,1,0,9.70667,0.95333,1,1,0.00889,0.65416,1,1,1,1
0.0415,0.0339,0.0172,0.0147,0.0145,0.94286,-0.03371,-0.0002,0.17248,-0.03955,0.49708,0.00063,0,-0.00039,0.49961,-0.00585,0.03955,1.03488,47.49013,0.98837,-0.00056,3,0,1,0,0,1,1,0,0,1,1,10,0.99704,0,10,0.99067,0.98889,0.72,0.01333,0.96492,0.99333,0.40183,0.99778,1
0.0778,0.1329,0.2199,0.2896,0.2599,-0.12541,0.14681,0.0186,0.32019,0.18627,0.52029,0.01165,0.0007,0.02553,0.52563,0.04058,-0.18627,1.04775,11.04334,1.08458,0.02911,13.55556,2.33333,0.1358,1.24,2.78885,0.02957,0.44315,3.11111,14.34568,0.46686,0.48341,23.18182,0.5208,13.15556,22.53333,0.4405,0.39531,1.96889,1.20889,0.01902,0.54181,0.84183,0.45207,3
0.0399,0.0369,0.019,0.016,0.0159,0.88601,-0.19492,-0.0008,0.17528,-0.21552,0.48925,0.00087,0,-0.00154,0.49846,-0.02151,0.21552,1.04737,16.09756,0.95789,-0.00223,3,0,1,0,0,1,1,0,0,1,1,9.80165,1,0,9.84,1,1,0.79556,0,0.39421,1,1,1,1
0.0407,0.039,0.0223,0.0178,0.0164,0.58672,-0.25418,-0.0008,0.18314,-0.27119,0.49087,-0.00069,0,-0.00153,0.49847,-0.01826,0.27119,0.96861,9.43009,0.96413,-0.00221,3.44444,0.44444,1,0,0,0.32278,1,0.39506,0,0.78395,1,10,1,0,10,1,1,0.58222,0.40889,1,1,1,1,1
0.0445,0.0329,0.0185,0.0148,0.0137,0.62212,-0.0107,-0.0009,0.17378,-0.03562,0.48753,0.00011,0,-0.00174,0.49826,-0.02493,0.03562,1.00541,50.69416,0.95135,-0.00252,3,0,1,0,0,1,1,0,0,1,1,11,1,0,11,1,1,0.56,0,0.96492,1,1,1,1
0.0414,0.0319,0.0179,0.0146,0.0141,0.62857,-0.03504,-0.0008,0.17258,-0.05785,0.48857,0,0,-0.00155,0.49846,-0.02286,0.05785,1,45.26917,0.95531,-0.00224,3,0,1,0,0,0.96002,1,0.02469,0,0.98765,1,10,1,0,10,1,1,0.25333,0.02222,1,1,1,1,1
0.0451,0.0348,0.0192,0.0154,0.0144,0.6682,-0.0179,-0.0011,0.17495,-0.04737,0.48525,0,0,-0.00212,0.49788,-0.02949,0.04737,1,46.77817,0.94271,-0.00307,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0438,0.0339,0.0186,0.0151,0.0139,0.68116,0.00813,-0.0012,0.17321,-0.02521,0.48333,-0.00165,0,-0.00232,0.49769,-0.03333,0.02521,0.9086,56.45115,0.93548,-0.00336,3,0,1,0,0,1,1,0,0,1,1,11,1,0,11,1,1,0.28444,0,0.96492,1,1,1,1
0.0427,0.0338,0.0181,0.0143,0.0134,0.75879,-0.05483,-0.0006,0.17361,-0.07162,0.49157,0.0001,0,-0.00116,0.49884,-0.01685,0.07162,1.00552,39.74687,0.96685,-0.00168,3,0,1,0,0,1,1,0,0,1,1,10,1,0,10,1,1,0.4,0,1,1,1,1,1
0.0414,0.0334,0.0174,0.0144,0.014,0.84865,-0.06199,-0.0003,0.1727,-0.07065,0.49565,0.00092,0,-0.00058,0.49942,-0.0087,0.07065,1.05172,39.60042,0.98276,-0.00084,3,0,1,0,0,1,1,0,0,1,1,10,1,0,10,1,1,0.43556,0,1,1,1,1,1
0.0442,0.0343,0.0186,0.0153,0.0144,0.70558,0.0027,-0.0018,0.17159,-0.04816,0.47458,-0.00041,0,-0.00348,0.49653,-0.05085,0.04816,0.97849,54.64002,0.90323,-0.00504,3,0,1,0,0,1,1,0,0,1,1,11,1,0,11,1,1,0.68,0,0.94773,1,1,1,1
0.0519,0.053,0.1221,0.2891,0.2364,-0.02082,0.2666,0.0613,0.41334,0.44353,0.60033,0.09678,0.00013,0.09454,0.59651,0.20065,-0.44353,1.63554,42.18647,1.50205,0.11415,5,0,0.28395,0.28,1.48519,0.58351,0.78367,0.16049,14.41975,0.839,0.715,13.46281,0.69772,13.46666,13.81778,0.67412,0.63615,2.29333,0.61333,0.05327,0.67262,0.71174,0.75244,7
0.0438,0.0355,0.0178,0.0146,0.0139,0.98864,-0.0557,-0.0003,0.17369,-0.06417,0.49575,0.00229,0,-0.00058,0.49942,-0.0085,0.06417,1.11798,40.20508,0.98315,-0.00084,3,0,1,0,0,1,1,0,0,1,1,11,1,0,11,1,1,0.94667,0,0.96492,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0375,0.0287,0.0126,0.012,0.0121,1.72917,-0.0632,0.0005,0.16264,-0.0438,0.50973,0.00224,0,0.00098,0.50098,0.01946,0.0438,1.1746,54.29161,1.03968,0.00143,2,0,1,0.48,0,1,0.80612,0,0,1,1,9,1,0,9,0.77333,1,0.48,0,1,1,1,1,1
0.0372,0.0284,0.0136,0.0128,0.0123,1.20513,0.00369,-0.0007,0.16192,-0.02273,0.48679,-0.0001,0,-0.00136,0.49864,-0.02642,0.02273,0.99265,75.17556,0.94853,-0.00199,2,0,1,0.4,0,1,0.72449,0,0,1,1,9,1,0,9,0.76889,1,0.49333,0.01778,1,1,1,1,1
0.0376,0.0288,0.0144,0.0127,0.0119,1,-0.02373,-0.0007,0.164,-0.04861,0.48754,0.0004,0,-0.00136,0.49864,-0.02491,0.04861,1.02778,60.22741,0.95139,-0.00199,2,0,1,0.08,0,1,0.95918,0,0,1,1,9,1,0,9,0.87111,1,0.66667,0,1,1,1,1,1
0.0329,0.0262,0.0131,0.0121,0.0121,1,-0.07421,0.0002,0.16311,-0.06667,0.50379,0.00064,0,0.00039,0.50039,0.00758,0.06667,1.0458,48.86655,1.01527,0.00057,2,0,1,0,0,1,1,0,0,1,1,8,1,0,8,1,1,0.32,0,1,1,1,1,1
0.0306,0.0288,0.0128,0.0121,0.0124,1.71111,-0.12028,-0.0006,0.16009,-0.14386,0.488,0.00168,0,-0.00117,0.49883,-0.024,0.14386,1.125,37.83179,0.95313,-0.00171,2,0,1,0,0,1,1,0,0,1,1,7,1,0,7,1,1,0.73333,0,1,1,1,1,1
0.0303,0.0288,0.0146,0.0153,0.0145,0.95031,-0.10429,0.0011,0.16949,-0.06825,0.51815,0,0,0.00214,0.50214,0.0363,0.06825,1,36.55006,1.07534,0.00311,2,0,1,0,0,1,1,0.02469,0,0.98765,1,7.19835,0.99231,0,7.18667,0.988,0.98622,1,0.08889,0.92201,0.98,0.89462,0.99111,1
0.0334,0.0245,0.0125,0.0127,0.0129,0.93151,-0.14089,0.0016,0.16544,-0.08143,0.53008,0.00137,0,0.00312,0.50312,0.06015,0.08143,1.112,34.15827,1.128,0.00456,2,0,1,0,0,1,1,0,0,1,1,8,1,0,8,1,1,0.17333,0,1,1,1,1,1
0.0305,0.0254,0.0132,0.0132,0.0135,0.86928,-0.10204,0.0011,0.16588,-0.0623,0.52,0.00219,0,0.00214,0.50214,0.04,0.0623,1.15909,40.98292,1.08333,0.00313,2,0,1,0,0,1,1,0,0,1,1,7,1,0,7,1,1,1,0,1,1,1,1,1
0.0364,0.0299,0.0132,0.0126,0.0126,1.70707,-0.10811,0.0002,0.16338,-0.10067,0.50376,0.00104,0,0.00039,0.50039,0.00752,0.10067,1.07576,39.50176,1.01515,0.00057,2,0,1,0,0,0.88338,1,0.06173,0,0.95679,1,8.70248,1,0,8.73333,1,1,0.32444,0.08889,1,1,1,1,1
